factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f72100,38,24,1.175
f73100,38,19,1.6125
f7393,38,16,2.8375
f756,38,12,3.9625
f7596,38,22,5.225
f876,38,16,2.4
f8797,38,19,4.9
f992,38,22,3.5
f1040,37,16,3.8625
f1433,37,20,2.8875
f1474,37,21,3.4375
f148,37,27,1.4125
f1692,37,19,0.775
f1727,37,18,6.1375
f2123,37,20,1.775
f262,37,17,3.375
f2733,37,16,1.9125
f2756,37,18,3.6875
f28,37,21,5.55
f281,37,24,5.0375
f332,37,19,5.8125
f362,37,13,4.1
f3667,37,19,2.3625
f3793,37,18,3.1125
f3863,37,21,2.825
f395,37,13,6.0
f3971,37,14,4.0375
f4070,37,20,1.1125
f4265,37,20,5.6125
f441,37,12,5.0375
f4993,37,12,2.2
f5466,37,14,4.875
f5684,37,16,3.25
f5983,37,15,5.85
f6084,37,20,2.9125
f647,37,16,1.6625
f6587,37,15,1.9625
f6977,37,22,6.325
f711,37,21,3.425
f7595,37,20,4.2
f1340,36,17,3.025
f1387,36,18,2.5875
f1588,36,16,2.9
f1686,36,20,2.3625
f1938,36,22,4.8
f2138,36,21,3.6625
f2350,36,22,4.0125
f2369,36,24,1.85
f2376,36,16,3.3625
f2395,36,20,6.225
f2491,36,14,3.8
f2885,36,24,1.5
f3153,36,18,3.725
f3242,36,23,3.5875
f3470,36,14,3.5
f3895,36,22,1.8
f4080,36,19,2.9375
f4672,36,20,4.7125
f4676,36,14,2.0625
f4865,36,20,3.5625
f4869,36,22,3.2625
f4887,36,19,5.0125
f49,36,24,1.775
f5276,36,10,3.525
f530,36,26,3.4
f542,36,21,5.4625
f6187,36,16,1.2375
f6383,36,12,4.4
f7178,36,12,4.35
f7285,36,24,1.425
f738,36,22,2.6375
f7578,36,23,3.375
f7785,36,22,3.325
f8295,36,12,3.5
f8798,36,16,2.2625
f895,36,16,4.5625
f919,36,18,1.275
f1023,35,21,6.025
f1148,35,24,3.0
f1316,35,17,3.8625
f1428,35,23,1.1125
f1455,35,20,1.6875
f1530,35,18,3.45
f1643,35,17,3.75
f2040,35,17,3.475
f2276,35,14,3.225
f233,35,18,0.9
f245,35,17,5.0625
f260,35,17,2.5625
f264,35,17,4.0625
f2770,35,16,2.9875
f2832,35,21,2.8625
f3575,35,23,1.175
f37100,35,16,2.7125
f3893,35,21,5.975
f396,35,10,4.65
f4147,35,10,3.7625
f4252,35,15,3.7
f4353,35,16,2.7375
f5391,35,17,3.5125
f5457,35,14,7.325
f6576,35,10,1.0125
f7087,35,16,4.6375
f7681,35,17,3.875
f7787,35,18,2.025
f817,35,14,1.65
f970,35,19,4.3875
f997,35,21,4.125
f1132,34,22,3.6375
f1461,34,19,3.725
f1464,34,19,2.9
f1472,34,22,4.5
f1495,34,19,4.3125
f1678,34,17,2.8875
f2037,34,20,3.625
f2476,34,15,2.75
f2591,34,10,4.8875
f290,34,20,1.5
f2976,34,16,2.7125
f3279,34,22,3.0
f3285,34,24,5.6
f3439,34,14,4.9875
f346,34,8,5.8125
f3538,34,21,3.4125
f3847,34,20,1.575
f4250,34,20,1.9125
f4269,34,20,0.5
f5265,34,8,3.125
f680,34,16,3.2125
f7073,34,16,3.5875
f7476,34,12,0.5
f869,34,16,3.3375
f8790,34,18,1.85
f9100,34,18,4.9875
f914,34,20,5.5375
f980,34,18,4.425
f128,33,24,5.9125
f14,33,26,1.425
f1418,33,18,0.5875
